dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
100000000,0,0.520363,1.114617,1.451,1.670,0.220,100.00
100000000,0,0.580921,1.152695,1.546,1.767,0.220,100.00
100000000,0,0.519878,1.054726,1.400,1.608,0.208,100.00
100000000,0,0.523269,1.054063,1.386,1.610,0.224,100.00
100000000,0,0.526395,1.185055,1.516,1.748,0.232,100.00
100000000,0,0.585128,1.189150,1.575,1.811,0.236,100.00
100000000,0,0.582176,1.191996,1.578,1.807,0.229,99.99
100000000,0,0.519946,1.088570,1.420,1.644,0.224,100.00
100000000,0,0.579682,1.184712,1.590,1.798,0.208,100.00
100000000,0,0.522905,1.100909,1.438,1.657,0.220,100.00
100000000,0,0.519449,1.046898,1.419,1.599,0.180,100.00
100000000,0,0.519179,1.054046,1.391,1.607,0.216,100.00
100000000,0,0.568810,1.182382,1.510,1.787,0.276,100.00
100000000,0,0.547539,1.049552,1.442,1.630,0.188,100.00
100000000,0,0.517248,1.051675,1.374,1.602,0.228,100.00
100000000,0,0.518577,1.097695,1.466,1.650,0.184,100.00
100000000,0,0.520362,1.069571,1.384,1.624,0.240,100.00
100000000,0,0.519938,1.067939,1.376,1.621,0.244,99.97
100000000,0,0.518384,1.069453,1.396,1.620,0.224,99.99
100000000,0,0.518292,1.044541,1.340,1.596,0.256,100.00
100000000,0,0.517642,1.103151,1.395,1.654,0.260,100.00
100000000,0,0.520853,1.080408,1.399,1.635,0.236,100.00
100000000,0,0.520242,1.060131,1.402,1.614,0.212,100.00
100000000,0,0.521705,1.048956,1.351,1.603,0.252,100.00
100000000,0,0.518790,1.054917,1.379,1.607,0.228,100.00
100000000,0,0.518611,1.054523,1.393,1.606,0.212,100.00
100000000,0,0.524499,1.152977,1.469,1.713,0.244,100.00
100000000,0,0.580586,1.124749,1.535,1.739,0.204,100.00
100000000,0,0.520689,1.031969,1.377,1.585,0.208,100.00
100000000,0,0.519685,1.031623,1.354,1.585,0.232,100.00
100000000,0,0.572863,1.187123,1.567,1.796,0.228,99.98
100000000,0,0.582769,1.200831,1.532,1.820,0.288,100.00
100000000,0,0.566379,1.030598,1.373,1.629,0.256,100.00
100000000,0,0.517672,1.028019,1.339,1.578,0.240,100.00
100000000,0,0.519079,1.088708,1.418,1.642,0.224,99.99
100000000,0,0.520013,1.034165,1.347,1.587,0.240,99.99
100000000,0,0.518870,1.036288,1.404,1.588,0.184,100.00
100000000,0,0.520281,1.034867,1.396,1.588,0.192,100.00
100000000,0,0.517823,1.085354,1.393,1.637,0.244,100.00
100000000,0,0.526301,1.088974,1.413,1.649,0.236,99.99
100000000,0,0.520681,1.039762,1.421,1.593,0.172,100.00
100000000,0,0.522436,1.038558,1.385,1.593,0.208,100.00
100000000,0,0.519829,1.055648,1.404,1.608,0.204,100.00
100000000,0,0.519494,1.308247,1.676,1.861,0.184,100.00
100000000,0,0.520625,1.035226,1.381,1.589,0.208,100.00
100000000,0,0.522763,1.042163,1.370,1.598,0.228,100.00
100000000,0,0.520599,1.040820,1.402,1.594,0.192,100.00
100000000,0,0.521771,1.058969,1.402,1.613,0.212,100.00
100000000,0,0.519070,1.203691,1.536,1.756,0.220,100.00
100000000,0,0.519283,1.132088,1.476,1.684,0.208,100.00
